stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
9,5,6.3052,1.6777,6.0173,527,4686970880,123,6,21,19
9,6,6.3505,2.1559,6.2571,589,4686970880,123,6,21,19
9,7,5.1183,1.8017,5.8304,527,4686970880,123,6,21,19
9,8,6.6766,1.4149,6.3108,535,4686970880,123,6,21,19
9,9,6.7890,1.9501,6.3934,542,4686970880,123,6,21,19
9,10,5.3700,1.8804,6.0518,527,4686970880,123,6,21,19
9,11,6.0227,1.4923,5.8029,528,4686970880,123,6,21,19
9,12,6.6541,1.5989,6.7237,589,4686970880,123,6,21,19
9,13,5.7552,1.5619,5.7630,528,4686970880,123,6,21,19
9,14,6.0807,1.4960,5.9944,527,4686970880,123,6,21,19
9,15,7.1691,1.9163,6.9065,541,4686970880,123,6,21,19
9,16,6.4246,1.5639,6.4369,527,4686970880,123,6,21,19
9,17,5.4816,1.8709,5.7977,527,4686970880,123,6,21,19
9,18,5.8873,1.6352,5.6298,589,4686974976,123,6,21,19
9,19,6.3131,1.7897,6.1758,533,4686974976,123,6,21,19
9,20,5.9729,1.9326,6.0893,528,4686974976,123,6,21,19
9,21,6.4512,1.5127,6.7014,543,4686974976,123,6,21,19
9,22,6.4435,1.7483,6.0182,531,4686974976,123,6,21,19
9,23,5.3907,1.8970,5.6873,528,4686974976,123,6,21,19
9,24,6.2217,1.7072,6.1291,589,4686979072,123,6,21,19
9,25,6.0748,1.6234,6.0977,528,4686979072,123,6,21,19
9,26,5.9431,1.5795,6.0399,527,4686979072,123,6,21,19
9,27,6.1660,1.6233,6.0924,541,4686979072,123,6,21,19
9,28,6.9593,1.7935,6.4054,527,4686979072,123,6,21,19
9,29,5.3310,2.1393,5.9239,528,4686979072,123,6,21,19
9,30,6.4464,1.6237,6.4261,593,4686979072,123,6,21,19
9,31,5.5160,1.3795,5.6449,527,4686979072,123,6,21,19
9,32,6.9906,1.7280,6.2465,527,4686979072,123,6,21,19
9,33,5.4054,2.0251,6.0784,541,4686979072,123,6,21,19
9,34,6.2596,1.5922,6.0756,531,4686979072,123,6,21,19
9,35,6.0554,1.6358,6.0596,528,4686979072,123,6,21,19
9,36,5.6500,1.5875,5.7278,589,4686979072,123,6,21,19
9,37,6.5082,1.5753,6.4719,527,4686979072,123,6,21,19
9,38,6.3509,1.6458,6.2458,527,4686979072,123,6,21,19
9,39,5.8382,1.5389,6.0282,542,4686979072,123,6,21,19
9,40,6.3226,1.5172,6.3064,527,4686979072,123,6,21,19
9,41,5.9011,1.4989,5.6884,527,4686979072,123,6,21,19
9,42,6.7307,1.8272,6.4686,589,4686979072,123,6,21,19
9,43,5.6065,1.9698,5.9779,528,4686979072,123,6,21,19
9,44,6.0532,1.6724,5.9858,528,4686979072,123,6,21,19
9,45,6.1553,1.6155,6.1315,546,4686979072,123,6,21,19
9,46,5.9418,1.6337,5.9747,527,4686979072,123,6,21,19
9,47,5.5156,1.5047,5.6320,527,4686979072,123,6,21,19
9,48,6.9648,1.7766,6.7145,591,4686979072,123,6,21,19
9,49,5.7882,1.5139,6.0657,527,4686979072,123,6,21,19
9,50,6.1955,1.5356,6.0097,527,4686979072,123,6,21,19
9,51,6.3423,1.7756,6.1754,541,4686979072,123,6,21,19
9,52,6.5716,1.6699,6.5317,527,4686979072,123,6,21,19
9,53,5.4941,1.8260,5.7308,527,4686979072,123,6,21,19
